Title,URL,Short Intro,Category,Sub-Category,Course Type,Language,Subtitle Languages,Skills,Instructors,Rating,Number of viewers,Duration,Site
Machine Learning Mastery Course 24,http://example.com/machinelearning/24,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Specialization,English,English,"Python, TensorFlow, Scikit-Learn",Instructor 15,4.3,477093,22 hours,edX
Machine Learning Mastery Course 25,http://example.com/machinelearning/25,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Specialization,English,English,"Python, ML, Scikit-Learn",Instructor 172,4.9,492701,17 hours,FutureLearn
Machine Learning Mastery Course 26,http://example.com/machinelearning/26,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Bootcamp,English,English,"Python, TensorFlow, AI",Instructor 153,4.4,382656,16 hours,Coursera
Machine Learning Mastery Course 27,http://example.com/machinelearning/27,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Specialization,English,English,"AI, ML, TensorFlow",Instructor 169,4.6,425516,13 hours,Coursera
Machine Learning Mastery Course 28,http://example.com/machinelearning/28,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Certificate,English,English,"ML, AI, TensorFlow",Instructor 131,4.3,89493,11 hours,FutureLearn
Machine Learning Mastery Course 29,http://example.com/machinelearning/29,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Bootcamp,English,English,"Scikit-Learn, AI, Python",Instructor 42,5.0,226919,8 hours,edX
Machine Learning Mastery Course 30,http://example.com/machinelearning/30,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Bootcamp,English,English,"Scikit-Learn, Python, TensorFlow",Instructor 182,4.3,401896,33 hours,FutureLearn
Machine Learning Mastery Course 31,http://example.com/machinelearning/31,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Bootcamp,English,English,"Python, AI, ML",Instructor 35,4.3,458336,34 hours,edX
Machine Learning Mastery Course 32,http://example.com/machinelearning/32,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Certificate,English,English,"ML, TensorFlow, Python",Instructor 171,5.0,160586,13 hours,Udemy
Machine Learning Mastery Course 33,http://example.com/machinelearning/33,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Certificate,English,English,"AI, Python, Scikit-Learn",Instructor 79,4.9,152786,11 hours,edX
Machine Learning Mastery Course 34,http://example.com/machinelearning/34,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Specialization,English,English,"AI, TensorFlow, Python",Instructor 66,4.6,316161,37 hours,edX
Machine Learning Mastery Course 35,http://example.com/machinelearning/35,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Specialization,English,English,"Python, Scikit-Learn, ML",Instructor 15,4.9,311234,14 hours,edX
Machine Learning Mastery Course 36,http://example.com/machinelearning/36,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Specialization,English,English,"TensorFlow, Scikit-Learn, AI",Instructor 133,4.7,185403,8 hours,Udemy
Machine Learning Mastery Course 37,http://example.com/machinelearning/37,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Professional Certificate,English,English,"AI, Scikit-Learn, TensorFlow",Instructor 134,4.7,207539,35 hours,FutureLearn
Machine Learning Mastery Course 38,http://example.com/machinelearning/38,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Professional Certificate,English,English,"AI, Python, Scikit-Learn",Instructor 127,4.7,129379,12 hours,Pluralsight
Machine Learning Mastery Course 39,http://example.com/machinelearning/39,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Bootcamp,English,English,"TensorFlow, AI, ML",Instructor 83,4.8,450273,27 hours,edX
Machine Learning Mastery Course 40,http://example.com/machinelearning/40,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Certificate,English,English,"Python, ML, Scikit-Learn",Instructor 199,4.4,430175,35 hours,edX
Machine Learning Mastery Course 41,http://example.com/machinelearning/41,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Professional Certificate,English,English,"Scikit-Learn, TensorFlow, AI",Instructor 168,4.9,416070,20 hours,Pluralsight
Machine Learning Mastery Course 42,http://example.com/machinelearning/42,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Bootcamp,English,English,"TensorFlow, AI, Python",Instructor 160,4.5,196648,23 hours,Udemy
Machine Learning Mastery Course 43,http://example.com/machinelearning/43,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Bootcamp,English,English,"Python, AI, TensorFlow",Instructor 156,4.7,459321,12 hours,edX
Machine Learning Mastery Course 44,http://example.com/machinelearning/44,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Specialization,English,English,"AI, Scikit-Learn, TensorFlow",Instructor 70,4.4,302217,19 hours,Udemy
Machine Learning Mastery Course 45,http://example.com/machinelearning/45,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Bootcamp,English,English,"TensorFlow, Scikit-Learn, ML",Instructor 103,4.6,373471,18 hours,Udemy
Machine Learning Mastery Course 46,http://example.com/machinelearning/46,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Bootcamp,English,English,"TensorFlow, ML, Scikit-Learn",Instructor 6,5.0,70573,25 hours,Coursera
Machine Learning Mastery Course 47,http://example.com/machinelearning/47,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Certificate,English,English,"TensorFlow, ML, Scikit-Learn",Instructor 148,4.6,313179,30 hours,FutureLearn
Machine Learning Mastery Course 48,http://example.com/machinelearning/48,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Certificate,English,English,"ML, Scikit-Learn, TensorFlow",Instructor 52,4.3,60256,13 hours,Udemy
Machine Learning Mastery Course 49,http://example.com/machinelearning/49,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Specialization,English,English,"Scikit-Learn, AI, ML",Instructor 26,4.7,153302,33 hours,edX
Machine Learning Mastery Course 50,http://example.com/machinelearning/50,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Bootcamp,English,English,"AI, TensorFlow, ML",Instructor 87,4.7,130661,28 hours,FutureLearn
App Development Mastery Course 1,http://example.com/appdevelopment/1,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Certificate,English,English,"Android, React Native, Flutter",Instructor 153,4.6,31713,8 hours,Udemy
App Development Mastery Course 2,http://example.com/appdevelopment/2,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Specialization,English,English,"Android, React Native, iOS",Instructor 126,4.9,322371,26 hours,Pluralsight
App Development Mastery Course 3,http://example.com/appdevelopment/3,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Professional Certificate,English,English,"React Native, Flutter, Android",Instructor 84,5.0,92145,40 hours,Coursera
App Development Mastery Course 4,http://example.com/appdevelopment/4,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Specialization,English,English,"Flutter, React Native, Android",Instructor 89,4.4,228304,32 hours,Coursera
App Development Mastery Course 5,http://example.com/appdevelopment/5,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Bootcamp,English,English,"Android, iOS, React Native",Instructor 4,5.0,189801,39 hours,edX
App Development Mastery Course 6,http://example.com/appdevelopment/6,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Specialization,English,English,"React Native, Flutter, iOS",Instructor 194,4.6,260475,27 hours,FutureLearn
App Development Mastery Course 7,http://example.com/appdevelopment/7,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Specialization,English,English,"iOS, Android, Flutter",Instructor 53,4.6,249341,32 hours,Coursera
App Development Mastery Course 8,http://example.com/appdevelopment/8,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Bootcamp,English,English,"React Native, Android, iOS",Instructor 65,4.8,91002,37 hours,edX
App Development Mastery Course 9,http://example.com/appdevelopment/9,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Specialization,English,English,"React Native, Flutter, Android",Instructor 44,4.3,484941,30 hours,FutureLearn
App Development Mastery Course 10,http://example.com/appdevelopment/10,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Professional Certificate,English,English,"Flutter, iOS, React Native",Instructor 180,4.2,16092,33 hours,Udemy
App Development Mastery Course 11,http://example.com/appdevelopment/11,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Certificate,English,English,"Android, iOS, Flutter",Instructor 66,4.8,492664,27 hours,Pluralsight
App Development Mastery Course 12,http://example.com/appdevelopment/12,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Bootcamp,English,English,"Android, iOS, React Native",Instructor 87,4.3,36697,11 hours,edX
App Development Mastery Course 13,http://example.com/appdevelopment/13,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Bootcamp,English,English,"iOS, Flutter, Android",Instructor 81,4.9,178345,40 hours,FutureLearn
App Development Mastery Course 14,http://example.com/appdevelopment/14,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Certificate,English,English,"iOS, Flutter, Android",Instructor 125,4.5,107722,15 hours,FutureLearn
App Development Mastery Course 15,http://example.com/appdevelopment/15,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Bootcamp,English,English,"Android, iOS, React Native",Instructor 135,4.6,144956,11 hours,Pluralsight
App Development Mastery Course 16,http://example.com/appdevelopment/16,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Bootcamp,English,English,"Android, iOS, React Native",Instructor 118,4.8,188514,9 hours,Pluralsight
App Development Mastery Course 17,http://example.com/appdevelopment/17,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Specialization,English,English,"iOS, Android, Flutter",Instructor 97,4.8,347140,22 hours,FutureLearn
App Development Mastery Course 18,http://example.com/appdevelopment/18,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Professional Certificate,English,English,"React Native, Flutter, Android",Instructor 31,4.5,376973,28 hours,Udemy
App Development Mastery Course 19,http://example.com/appdevelopment/19,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Bootcamp,English,English,"Android, Flutter, React Native",Instructor 137,4.3,427600,24 hours,Pluralsight
App Development Mastery Course 20,http://example.com/appdevelopment/20,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Professional Certificate,English,English,"React Native, iOS, Flutter",Instructor 184,4.9,342433,36 hours,Pluralsight
App Development Mastery Course 21,http://example.com/appdevelopment/21,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Professional Certificate,English,English,"Flutter, React Native, Android",Instructor 53,4.4,475253,38 hours,FutureLearn
App Development Mastery Course 22,http://example.com/appdevelopment/22,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Certificate,English,English,"React Native, Android, Flutter",Instructor 184,4.3,135648,36 hours,Pluralsight
App Development Mastery Course 23,http://example.com/appdevelopment/23,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Bootcamp,English,English,"React Native, iOS, Flutter",Instructor 173,4.4,232324,29 hours,FutureLearn
App Development Mastery Course 24,http://example.com/appdevelopment/24,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Specialization,English,English,"iOS, Android, Flutter",Instructor 67,4.5,294569,30 hours,edX
App Development Mastery Course 25,http://example.com/appdevelopment/25,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Certificate,English,English,"React Native, Flutter, Android",Instructor 75,4.6,192435,13 hours,FutureLearn
App Development Mastery Course 26,http://example.com/appdevelopment/26,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Professional Certificate,English,English,"React Native, Android, iOS",Instructor 93,4.9,206245,14 hours,Pluralsight
App Development Mastery Course 27,http://example.com/appdevelopment/27,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Bootcamp,English,English,"iOS, React Native, Android",Instructor 144,4.6,440132,7 hours,edX
App Development Mastery Course 28,http://example.com/appdevelopment/28,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Professional Certificate,English,English,"React Native, Android, Flutter",Instructor 131,4.3,10676,24 hours,FutureLearn
App Development Mastery Course 29,http://example.com/appdevelopment/29,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Bootcamp,English,English,"Android, iOS, Flutter",Instructor 57,4.2,285146,38 hours,Pluralsight
App Development Mastery Course 30,http://example.com/appdevelopment/30,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Specialization,English,English,"React Native, Flutter, iOS",Instructor 69,4.8,16212,27 hours,Pluralsight
App Development Mastery Course 31,http://example.com/appdevelopment/31,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Professional Certificate,English,English,"Flutter, Android, iOS",Instructor 100,4.7,363286,6 hours,Pluralsight
App Development Mastery Course 32,http://example.com/appdevelopment/32,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Certificate,English,English,"React Native, iOS, Android",Instructor 153,4.4,25987,9 hours,FutureLearn
App Development Mastery Course 33,http://example.com/appdevelopment/33,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Professional Certificate,English,English,"iOS, Flutter, React Native",Instructor 168,4.7,390575,23 hours,Udemy
App Development Mastery Course 34,http://example.com/appdevelopment/34,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Specialization,English,English,"Flutter, React Native, Android",Instructor 149,4.6,269747,16 hours,Coursera
App Development Mastery Course 35,http://example.com/appdevelopment/35,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Certificate,English,English,"React Native, Android, iOS",Instructor 112,4.4,267752,20 hours,Pluralsight
App Development Mastery Course 36,http://example.com/appdevelopment/36,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Specialization,English,English,"React Native, iOS, Flutter",Instructor 195,4.3,373626,20 hours,Coursera
App Development Mastery Course 37,http://example.com/appdevelopment/37,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Specialization,English,English,"Android, Flutter, React Native",Instructor 74,4.6,63894,39 hours,Udemy
App Development Mastery Course 38,http://example.com/appdevelopment/38,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Professional Certificate,English,English,"React Native, Flutter, Android",Instructor 127,4.6,333936,27 hours,Udemy
App Development Mastery Course 39,http://example.com/appdevelopment/39,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Bootcamp,English,English,"iOS, Android, React Native",Instructor 163,4.8,482710,24 hours,Pluralsight
App Development Mastery Course 40,http://example.com/appdevelopment/40,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Certificate,English,English,"iOS, Android, Flutter",Instructor 52,4.4,166178,9 hours,FutureLearn
App Development Mastery Course 41,http://example.com/appdevelopment/41,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Bootcamp,English,English,"React Native, iOS, Flutter",Instructor 76,4.4,115091,38 hours,Udemy
App Development Mastery Course 42,http://example.com/appdevelopment/42,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Professional Certificate,English,English,"iOS, React Native, Flutter",Instructor 64,5.0,173426,17 hours,Coursera
App Development Mastery Course 43,http://example.com/appdevelopment/43,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Certificate,English,English,"iOS, Flutter, Android",Instructor 84,4.9,136351,21 hours,edX
App Development Mastery Course 44,http://example.com/appdevelopment/44,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Bootcamp,English,English,"iOS, Android, Flutter",Instructor 156,4.4,474699,28 hours,Coursera
App Development Mastery Course 45,http://example.com/appdevelopment/45,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Certificate,English,English,"React Native, Android, iOS",Instructor 99,4.9,349843,21 hours,Coursera
App Development Mastery Course 46,http://example.com/appdevelopment/46,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Bootcamp,English,English,"Flutter, Android, iOS",Instructor 165,4.9,50603,7 hours,Coursera
App Development Mastery Course 47,http://example.com/appdevelopment/47,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Professional Certificate,English,English,"Android, React Native, Flutter",Instructor 42,4.8,122917,25 hours,Coursera
App Development Mastery Course 48,http://example.com/appdevelopment/48,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Professional Certificate,English,English,"React Native, iOS, Flutter",Instructor 38,4.7,16136,6 hours,FutureLearn
App Development Mastery Course 49,http://example.com/appdevelopment/49,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Certificate,English,English,"Android, Flutter, React Native",Instructor 23,4.2,383142,15 hours,Coursera
App Development Mastery Course 50,http://example.com/appdevelopment/50,Comprehensive training in App Development covering practical and real-world projects.,Computer Science,App Development,Certificate,English,English,"Android, React Native, Flutter",Instructor 33,4.4,270439,31 hours,edX
Cloud Computing Mastery Course 1,http://example.com/cloudcomputing/1,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Bootcamp,English,English,"AWS, DevOps, GCP",Instructor 177,4.5,151737,9 hours,Pluralsight
Cloud Computing Mastery Course 2,http://example.com/cloudcomputing/2,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Professional Certificate,English,English,"DevOps, AWS, Azure",Instructor 44,4.7,100592,26 hours,Udemy
Cloud Computing Mastery Course 3,http://example.com/cloudcomputing/3,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Specialization,English,English,"AWS, DevOps, Azure",Instructor 11,4.5,203888,38 hours,edX
Cloud Computing Mastery Course 4,http://example.com/cloudcomputing/4,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Professional Certificate,English,English,"AWS, DevOps, GCP",Instructor 137,4.2,408604,31 hours,FutureLearn
Cloud Computing Mastery Course 5,http://example.com/cloudcomputing/5,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Professional Certificate,English,English,"DevOps, AWS, GCP",Instructor 110,4.8,10121,18 hours,Udemy
Cloud Computing Mastery Course 6,http://example.com/cloudcomputing/6,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Professional Certificate,English,English,"GCP, DevOps, Azure",Instructor 97,4.3,240745,12 hours,Udemy
Cloud Computing Mastery Course 7,http://example.com/cloudcomputing/7,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Certificate,English,English,"Azure, GCP, AWS",Instructor 188,4.8,393453,10 hours,Coursera
Cloud Computing Mastery Course 8,http://example.com/cloudcomputing/8,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Professional Certificate,English,English,"GCP, Azure, AWS",Instructor 172,4.8,482661,20 hours,edX
Cloud Computing Mastery Course 9,http://example.com/cloudcomputing/9,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Bootcamp,English,English,"GCP, AWS, DevOps",Instructor 179,4.8,495154,25 hours,Udemy
Cloud Computing Mastery Course 10,http://example.com/cloudcomputing/10,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Bootcamp,English,English,"DevOps, AWS, GCP",Instructor 90,4.6,411688,37 hours,edX
Cloud Computing Mastery Course 11,http://example.com/cloudcomputing/11,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Certificate,English,English,"GCP, AWS, Azure",Instructor 3,4.6,110847,38 hours,Udemy
Cloud Computing Mastery Course 12,http://example.com/cloudcomputing/12,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Bootcamp,English,English,"DevOps, Azure, GCP",Instructor 45,5.0,492163,20 hours,Pluralsight
Cloud Computing Mastery Course 13,http://example.com/cloudcomputing/13,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Specialization,English,English,"AWS, GCP, Azure",Instructor 95,4.5,483456,11 hours,FutureLearn
Cloud Computing Mastery Course 14,http://example.com/cloudcomputing/14,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Certificate,English,English,"AWS, Azure, GCP",Instructor 89,4.8,16408,26 hours,Udemy
Cloud Computing Mastery Course 15,http://example.com/cloudcomputing/15,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Specialization,English,English,"Azure, GCP, AWS",Instructor 18,4.8,373137,33 hours,FutureLearn
Cloud Computing Mastery Course 16,http://example.com/cloudcomputing/16,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Specialization,English,English,"GCP, DevOps, AWS",Instructor 93,4.5,357095,34 hours,Udemy
Cloud Computing Mastery Course 17,http://example.com/cloudcomputing/17,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Specialization,English,English,"GCP, DevOps, AWS",Instructor 161,4.6,237784,32 hours,Coursera
Cloud Computing Mastery Course 18,http://example.com/cloudcomputing/18,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Bootcamp,English,English,"AWS, DevOps, GCP",Instructor 113,5.0,442269,26 hours,edX
Cloud Computing Mastery Course 19,http://example.com/cloudcomputing/19,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Specialization,English,English,"Azure, GCP, AWS",Instructor 54,4.3,316088,26 hours,Udemy
Cloud Computing Mastery Course 20,http://example.com/cloudcomputing/20,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Professional Certificate,English,English,"Azure, GCP, DevOps",Instructor 78,4.9,254729,18 hours,FutureLearn
Cloud Computing Mastery Course 21,http://example.com/cloudcomputing/21,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Professional Certificate,English,English,"GCP, DevOps, AWS",Instructor 188,4.6,335576,11 hours,edX
Cloud Computing Mastery Course 22,http://example.com/cloudcomputing/22,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Bootcamp,English,English,"Azure, DevOps, AWS",Instructor 13,4.9,89283,16 hours,Coursera
Cloud Computing Mastery Course 23,http://example.com/cloudcomputing/23,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Bootcamp,English,English,"DevOps, AWS, GCP",Instructor 179,4.7,280195,34 hours,edX
Cloud Computing Mastery Course 24,http://example.com/cloudcomputing/24,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Certificate,English,English,"GCP, Azure, AWS",Instructor 67,4.4,456817,22 hours,Coursera
Cloud Computing Mastery Course 25,http://example.com/cloudcomputing/25,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Bootcamp,English,English,"GCP, DevOps, Azure",Instructor 16,4.4,51198,7 hours,FutureLearn
Cloud Computing Mastery Course 26,http://example.com/cloudcomputing/26,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Professional Certificate,English,English,"GCP, AWS, DevOps",Instructor 188,4.9,212304,29 hours,Pluralsight
Cloud Computing Mastery Course 27,http://example.com/cloudcomputing/27,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Bootcamp,English,English,"AWS, DevOps, Azure",Instructor 175,4.4,120886,12 hours,Coursera
Cloud Computing Mastery Course 28,http://example.com/cloudcomputing/28,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Certificate,English,English,"GCP, DevOps, Azure",Instructor 184,4.9,495868,18 hours,Coursera
Cloud Computing Mastery Course 29,http://example.com/cloudcomputing/29,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Professional Certificate,English,English,"GCP, AWS, DevOps",Instructor 40,4.6,472289,40 hours,Udemy
Cloud Computing Mastery Course 30,http://example.com/cloudcomputing/30,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Bootcamp,English,English,"AWS, DevOps, Azure",Instructor 121,5.0,321149,22 hours,FutureLearn
Cloud Computing Mastery Course 31,http://example.com/cloudcomputing/31,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Certificate,English,English,"AWS, GCP, Azure",Instructor 37,4.6,267650,35 hours,Udemy
Cloud Computing Mastery Course 32,http://example.com/cloudcomputing/32,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Professional Certificate,English,English,"GCP, DevOps, AWS",Instructor 22,4.6,324049,16 hours,Pluralsight
Cloud Computing Mastery Course 33,http://example.com/cloudcomputing/33,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Professional Certificate,English,English,"Azure, DevOps, GCP",Instructor 159,4.6,169535,22 hours,Coursera
Cloud Computing Mastery Course 34,http://example.com/cloudcomputing/34,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Specialization,English,English,"DevOps, Azure, AWS",Instructor 186,4.6,478197,13 hours,Udemy
Cloud Computing Mastery Course 35,http://example.com/cloudcomputing/35,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Certificate,English,English,"AWS, Azure, GCP",Instructor 120,4.8,468880,17 hours,edX
Cloud Computing Mastery Course 36,http://example.com/cloudcomputing/36,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Bootcamp,English,English,"DevOps, Azure, GCP",Instructor 28,4.2,107771,24 hours,Udemy
Cloud Computing Mastery Course 37,http://example.com/cloudcomputing/37,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Specialization,English,English,"DevOps, GCP, Azure",Instructor 158,4.9,174793,26 hours,FutureLearn
Cloud Computing Mastery Course 38,http://example.com/cloudcomputing/38,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Bootcamp,English,English,"Azure, AWS, GCP",Instructor 159,4.7,39951,14 hours,Coursera
Cloud Computing Mastery Course 39,http://example.com/cloudcomputing/39,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Bootcamp,English,English,"DevOps, AWS, GCP",Instructor 176,4.4,357318,8 hours,Udemy
Cloud Computing Mastery Course 40,http://example.com/cloudcomputing/40,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Certificate,English,English,"AWS, Azure, GCP",Instructor 131,4.6,92314,21 hours,Coursera
Cloud Computing Mastery Course 41,http://example.com/cloudcomputing/41,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Professional Certificate,English,English,"Azure, DevOps, GCP",Instructor 47,4.6,21648,33 hours,FutureLearn
Cloud Computing Mastery Course 42,http://example.com/cloudcomputing/42,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Specialization,English,English,"GCP, Azure, AWS",Instructor 130,4.9,375444,29 hours,FutureLearn
Cloud Computing Mastery Course 43,http://example.com/cloudcomputing/43,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Bootcamp,English,English,"GCP, Azure, DevOps",Instructor 163,4.3,381418,38 hours,FutureLearn
